Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,"Killer whales","Leopard Seal","Weddell Seal","Crabeater Seal","Antarctic fur seals","S Elephant Seals","Sperm Whales","Blue Whales","Fin Whales","Minke Whales","Humpback whales","Emperor Penguins","Gentoo Penguins","Chinstrap Penguins","Adelie Penguins","Macaroni Penguins","Flying Birds",Cephalopods,Myctophids,"On-shelf fish","N. rossii","C gunnari","G gibberifrons",Salps,"Benthic invertbrates","Krill Large","Krill Small","Other Euphausiids",Micro-Zool,"Meso zooplankton",Macro-zoopl,"Small phytoplankton","Large phytoplankton","Ice Algae",Detritus,
1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0005612501,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002096777,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002711321,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.00297779,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002486488,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0009193179,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,2.664689E-05,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0009925964,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0009026635,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001069207,0,0,0,0,0,0,0,0,0,
1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001443163,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.00210677,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002173387,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002584748,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.00338582,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0003763873,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0001998516,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,9.826038E-05,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0007727598,0,0,0,0,0,0,0,0,0,
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0009726111,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001828643,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002135083,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001737044,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002203365,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001367319,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0009176525,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0004513317,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,7.66098E-05,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002614726,0,0,0,0,0,0,0,0,0,
1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001109176,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.00171123,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001601311,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001916911,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,3.83049E-05,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0001332345,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002730474,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0006549307,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0006078822,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001650442,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,8.965016E-05,0,0,0,0,0,0,0,0,0,
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.00085783,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002147856,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001710264,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.00194595,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.002828784,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0007128043,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0003509895,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002885358,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0002724311,0,0,0,0,0,0,0,0,0,
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0005743737,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0003480751,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0003153159,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0007877487,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001427468,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001396441,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0006611759,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,2.969463E-05,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.000199019,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0001519706,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,6.565128E-05,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0003720905,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.000226915,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,3.330861E-05,0,0,0,0,0,0,0,0,0,
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,8.396546E-05,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0006373048,0,0,0,0,0,0,0,0,0,
March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0006978431,0,0,0,0,0,0,0,0,0,
April,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0007685407,0,0,0,0,0,0,0,0,0,
May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.001970011,0,0,0,0,0,0,0,0,0,
June,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,3.34474E-05,0,0,0,0,0,0,0,0,0,
July,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
August,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
October,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
November,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,
December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,9.709456E-06,0,0,0,0,0,0,0,0,0,
2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,2.817909E-05,0,0,0,0,0,0,0,0,0,
February,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.246377E-07,1.111111E-07,0,0,0,0.0005989888,0,0,0,0,0,0,0,0,0,
