"lat","lon","vals","standard_name","long_name","units"
-60.125,-69.875,384922699.6099872,"area","area of grid cell","m2"
-60.125,-69.625,384922699.6099876,,,
-60.125,-69.375,384922699.60998994,,,
-60.125,-69.125,384922699.61001116,,,
-60.125,-68.875,384922699.609988,,,
-60.125,-68.625,384922699.60998946,,,
-60.125,-68.375,384922699.6099986,,,
-60.125,-68.125,384922699.60998905,,,
-60.125,-67.875,384922699.6100085,,,
-60.125,-67.625,384922699.6099923,,,
-60.125,-67.375,384922699.6099892,,,
-60.125,-67.125,384922699.60999256,,,
-60.125,-66.875,384922699.61001027,,,
-60.125,-66.625,384922699.609988,,,
-60.125,-66.375,384922699.60998863,,,
-60.125,-66.125,384922699.60999733,,,
-60.125,-65.875,384922699.6099866,,,
-60.125,-65.625,384922699.61000806,,,
-60.125,-65.375,384922699.6099908,,,
-60.125,-65.125,384922699.60999143,,,
-60.125,-64.875,384922699.60998994,,,
-60.125,-64.625,384922699.6100076,,,
-60.125,-64.375,384922699.60998595,,,
-60.125,-64.125,384922699.6099912,,,
-60.125,-63.875,384922699.6099886,,,
-60.125,-63.625,384922699.6099909,,,
-60.125,-63.375,384922699.61001045,,,
-60.125,-63.125,384922699.6099899,,,
-60.125,-62.875,384922699.609987,,,
-60.125,-62.625,384922699.609987,,,
-60.125,-62.375,384922699.6100187,,,
-60.125,-62.125,384922699.60998875,,,
-60.125,-61.875,384922699.60998434,,,
-60.125,-61.625,384922699.60999453,,,
-60.125,-61.375,384922699.60998505,,,
-60.125,-61.125,384922699.61001235,,,
-60.125,-60.875,384922699.6099886,,,
-60.125,-60.625,384922699.60998774,,,
-60.125,-60.375,384922699.60999304,,,
-60.125,-60.125,384922699.610009,,,
-60.125,-59.875,384922699.6099834,,,
-60.125,-59.625,384922699.60999733,,,
-60.125,-59.375,384922699.60999036,,,
-60.125,-59.125,384922699.60998595,,,
-60.125,-58.875,384922699.6100128,,,
-60.125,-58.625,384922699.6099904,,,
-60.125,-58.375,384922699.6099932,,,
-60.125,-58.125,384922699.6099908,,,
-60.125,-57.875,384922699.6100053,,,
-60.125,-57.625,384922699.60998887,,,
-60.125,-57.375,384922699.6099927,,,
-60.125,-57.125,384922699.6099912,,,
-60.125,-56.875,384922699.6100032,,,
-60.125,-56.625,384922699.6099851,,,
-60.125,-56.375,384922699.60999775,,,
-60.125,-56.125,384922699.6099876,,,
-60.125,-55.875,384922699.61000174,,,
-60.125,-55.625,384922699.6099891,,,
-60.125,-55.375,384922699.61000794,,,
-60.125,-55.125,384922699.60998946,,,
-60.125,-54.875,384922699.6099905,,,
-60.125,-54.625,384922699.60999405,,,
-60.125,-54.375,384922699.6099912,,,
-60.125,-54.125,384922699.6099987,,,
-60.125,-53.875,384922699.60999566,,,
-60.125,-53.625,384922699.6100027,,,
-60.125,-53.375,384922699.6099847,,,
-60.125,-53.125,384922699.60999835,,,
-60.125,-52.875,384922699.6099832,,,
-60.125,-52.625,384922699.609999,,,
-60.125,-52.375,384922699.60999775,,,
-60.125,-52.125,384922699.60998964,,,
-60.125,-51.875,384922699.60999405,,,
-60.125,-51.625,384922699.60999215,,,
-60.125,-51.375,384922699.60999894,,,
-60.125,-51.125,384922699.60999656,,,
-60.125,-50.875,384922699.6099994,,,
-60.125,-50.625,384922699.60998154,,,
-60.125,-50.375,384922699.6099886,,,
-60.125,-50.125,384922699.61001045,,,
-60.375,-69.875,381995273.1949068,,,
-60.375,-69.625,381995273.19490886,,,
-60.375,-69.375,381995273.1949102,,,
-60.375,-69.125,381995273.1949314,,,
-60.375,-68.875,381995273.1949075,,,
-60.375,-68.625,381995273.1949094,,,
-60.375,-68.375,381995273.19491476,,,
-60.375,-68.125,381995273.1949051,,,
-60.375,-67.875,381995273.1949254,,,
-60.375,-67.625,381995273.1949118,,,
-60.375,-67.375,381995273.1949083,,,
-60.375,-67.125,381995273.1949085,,,
-60.375,-66.875,381995273.1949281,,,
-60.375,-66.625,381995273.19491035,,,
-60.375,-66.375,381995273.1949102,,,
-60.375,-66.125,381995273.1949152,,,
-60.375,-65.875,381995273.19490623,,,
-60.375,-65.625,381995273.19492805,,,
-60.375,-65.375,381995273.19491094,,,
-60.375,-65.125,381995273.1949069,,,
-60.375,-64.875,381995273.1949079,,,
-60.375,-64.625,381995273.19492745,,,
-60.375,-64.375,381995273.19490445,,,
-60.375,-64.125,381995273.19490784,,,
-60.375,-63.875,381995273.1949082,,,
-60.375,-63.625,381995273.1949082,,,
-60.375,-63.375,381995273.19493175,,,
-60.375,-63.125,381995273.19491214,,,
-60.375,-62.875,381995273.1949057,,,
-60.375,-62.625,381995273.1949115,,,
-60.375,-62.375,381995273.1949355,,,
-60.375,-62.125,381995273.194905,,,
-60.375,-61.875,381995273.194906,,,
-60.375,-61.625,381995273.1949134,,,
-60.375,-61.375,381995273.1949094,,,
-60.375,-61.125,381995273.19493103,,,
-60.375,-60.875,381995273.1949084,,,
-60.375,-60.625,381995273.19490874,,,
-60.375,-60.375,381995273.19491094,,,
-60.375,-60.125,381995273.19493,,,
-60.375,-59.875,381995273.1949058,,,
-60.375,-59.625,381995273.19491655,,,
-60.375,-59.375,381995273.19490355,,,
-60.375,-59.125,381995273.1949068,,,
-60.375,-58.875,381995273.19493484,,,
-60.375,-58.625,381995273.1949115,,,
-60.375,-58.375,381995273.19491243,,,
-60.375,-58.125,381995273.1949053,,,
-60.375,-57.875,381995273.1949246,,,
-60.375,-57.625,381995273.19490606,,,
-60.375,-57.375,381995273.19491494,,,
-60.375,-57.125,381995273.19491327,,,
-60.375,-56.875,381995273.1949239,,,
-60.375,-56.625,381995273.1949032,,,
-60.375,-56.375,381995273.1949184,,,
-60.375,-56.125,381995273.1949064,,,
-60.375,-55.875,381995273.19492185,,,
-60.375,-55.625,381995273.19491506,,,
-60.375,-55.375,381995273.1949209,,,
-60.375,-55.125,381995273.19490707,,,
-60.375,-54.875,381995273.19490665,,,
-60.375,-54.625,381995273.19491494,,,
-60.375,-54.375,381995273.1949139,,,
-60.375,-54.125,381995273.194916,,,
-60.375,-53.875,381995273.1949068,,,
-60.375,-53.625,381995273.1949278,,,
-60.375,-53.375,381995273.19490445,,,
-60.375,-53.125,381995273.19492066,,,
-60.375,-52.875,381995273.1949098,,,
-60.375,-52.625,381995273.19492054,,,
-60.375,-52.375,381995273.19492155,,,
-60.375,-52.125,381995273.1949081,,,
-60.375,-51.875,381995273.1949159,,,
-60.375,-51.625,381995273.1949085,,,
-60.375,-51.375,381995273.19491535,,,
-60.375,-51.125,381995273.1949133,,,
-60.375,-50.875,381995273.1949165,,,
-60.375,-50.625,381995273.19490063,,,
-60.375,-50.375,381995273.1949058,,,
-60.375,-50.125,381995273.19492924,,,
-60.625,-69.875,379060574.28049594,,,
-60.625,-69.625,379060574.28049856,,,
-60.625,-69.375,379060574.2805003,,,
-60.625,-69.125,379060574.28051674,,,
-60.625,-68.875,379060574.2804973,,,
-60.625,-68.625,379060574.2805026,,,
-60.625,-68.375,379060574.28049767,,,
-60.625,-68.125,379060574.2805,,,
-60.625,-67.875,379060574.2805119,,,
-60.625,-67.625,379060574.28050065,,,
-60.625,-67.375,379060574.2804993,,,
-60.625,-67.125,379060574.28049815,,,
-60.625,-66.875,379060574.28052115,,,
-60.625,-66.625,379060574.28049624,,,
-60.625,-66.375,379060574.28049695,,,
-60.625,-66.125,379060574.2805022,,,
-60.625,-65.875,379060574.28049266,,,
-60.625,-65.625,379060574.28051305,,,
-60.625,-65.375,379060574.2805037,,,
-60.625,-65.125,379060574.2804993,,,
-60.625,-64.875,379060574.28049886,,,
-60.625,-64.625,379060574.28051734,,,
-60.625,-64.375,379060574.2804949,,,
-60.625,-64.125,379060574.2805019,,,
-60.625,-63.875,379060574.2804961,,,
-60.625,-63.625,379060574.2805007,,,
-60.625,-63.375,379060574.2805225,,,
-60.625,-63.125,379060574.28049994,,,
-60.625,-62.875,379060574.28049767,,,
-60.625,-62.625,379060574.28050476,,,
-60.625,-62.375,379060574.2805207,,,
-60.625,-62.125,379060574.28050053,,,
-60.625,-61.875,379060574.28049594,,,
-60.625,-61.625,379060574.2805032,,,
-60.625,-61.375,379060574.28049314,,,
-60.625,-61.125,379060574.2805181,,,
-60.625,-60.875,379060574.2804971,,,
-60.625,-60.625,379060574.2804954,,,
-60.625,-60.375,379060574.2805025,,,
-60.625,-60.125,379060574.28052086,,,
-60.625,-59.875,379060574.2804979,,,
-60.625,-59.625,379060574.2805057,,,
-60.625,-59.375,379060574.28049564,,,
-60.625,-59.125,379060574.28049886,,,
-60.625,-58.875,379060574.2805239,,,
-60.625,-58.625,379060574.2804976,,,
-60.625,-58.375,379060574.2805031,,,
-60.625,-58.125,379060574.2804873,,,
-60.625,-57.875,379060574.2805177,,,
-60.625,-57.625,379060574.2804938,,,
-60.625,-57.375,379060574.28050065,,,
-60.625,-57.125,379060574.2804999,,,
-60.625,-56.875,379060574.2805151,,,
-60.625,-56.625,379060574.2804956,,,
-60.625,-56.375,379060574.2805118,,,
-60.625,-56.125,379060574.28049415,,,
-60.625,-55.875,379060574.2805122,,,
-60.625,-55.625,379060574.2805016,,,
-60.625,-55.375,379060574.28051233,,,
-60.625,-55.125,379060574.280498,,,
-60.625,-54.875,379060574.28049964,,,
-60.625,-54.625,379060574.28050643,,,
-60.625,-54.375,379060574.2805041,,,
-60.625,-54.125,379060574.280506,,,
-60.625,-53.875,379060574.2804956,,,
-60.625,-53.625,379060574.2805133,,,
-60.625,-53.375,379060574.2804977,,,
-60.625,-53.125,379060574.2805137,,,
-60.625,-52.875,379060574.2804902,,,
-60.625,-52.625,379060574.28050613,,,
-60.625,-52.375,379060574.2805095,,,
-60.625,-52.125,379060574.2804979,,,
-60.625,-51.875,379060574.2805071,,,
-60.625,-51.625,379060574.2805056,,,
-60.625,-51.375,379060574.2805096,,,
-60.625,-51.125,379060574.2805058,,,
-60.625,-50.875,379060574.28050613,,,
-60.625,-50.625,379060574.28049445,,,
-60.625,-50.375,379060574.2804975,,,
-60.625,-50.125,379060574.2805166,,,
-60.875,-69.875,376118658.7391316,,,
-60.875,-69.625,376118658.739137,,,
-60.875,-69.375,376118658.7391361,,,
-60.875,-69.125,376118658.73914975,,,
-60.875,-68.875,376118658.7391327,,,
-60.875,-68.625,376118658.73913395,,,
-60.875,-68.375,376118658.73913157,,,
-60.875,-68.125,376118658.7391316,,,
-60.875,-67.875,376118658.7391471,,,
-60.875,-67.625,376118658.7391382,,,
-60.875,-67.375,376118658.73913264,,,
-60.875,-67.125,376118658.7391299,,,
-60.875,-66.875,376118658.73915184,,,
-60.875,-66.625,376118658.7391346,,,
-60.875,-66.375,376118658.7391356,,,
-60.875,-66.125,376118658.73913616,,,
-60.875,-65.875,376118658.7391274,,,
-60.875,-65.625,376118658.73915184,,,
-60.875,-65.375,376118658.7391374,,,
-60.875,-65.125,376118658.7391335,,,
-60.875,-64.875,376118658.73913485,,,
-60.875,-64.625,376118658.73914814,,,
-60.875,-64.375,376118658.73913145,,,
-60.875,-64.125,376118658.73913383,,,
-60.875,-63.875,376118658.7391291,,,
-60.875,-63.625,376118658.73912954,,,
-60.875,-63.375,376118658.7391533,,,
-60.875,-63.125,376118658.7391308,,,
-60.875,-62.875,376118658.73913336,,,
-60.875,-62.625,376118658.73913413,,,
-60.875,-62.375,376118658.7391571,,,
-60.875,-62.125,376118658.7391308,,,
-60.875,-61.875,376118658.73912984,,,
-60.875,-61.625,376118658.7391341,,,
-60.875,-61.375,376118658.73912984,,,
-60.875,-61.125,376118658.7391572,,,
-60.875,-60.875,376118658.7391344,,,
-60.875,-60.625,376118658.73913604,,,
-60.875,-60.375,376118658.73913205,,,
-60.875,-60.125,376118658.7391517,,,
-60.875,-59.875,376118658.73913044,,,
-60.875,-59.625,376118658.7391386,,,
-60.875,-59.375,376118658.7391304,,,
-60.875,-59.125,376118658.7391323,,,
-60.875,-58.875,376118658.7391591,,,
-60.875,-58.625,376118658.73912966,,,
-60.875,-58.375,376118658.7391327,,,
-60.875,-58.125,376118658.7391275,,,
-60.875,-57.875,376118658.7391532,,,
-60.875,-57.625,376118658.7391278,,,
-60.875,-57.375,376118658.73913723,,,
-60.875,-57.125,376118658.73913586,,,
-60.875,-56.875,376118658.739146,,,
-60.875,-56.625,376118658.7391309,,,
-60.875,-56.375,376118658.7391396,,,
-60.875,-56.125,376118658.7391331,,,
-60.875,-55.875,376118658.739143,,,
-60.875,-55.625,376118658.73913354,,,
-60.875,-55.375,376118658.7391553,,,
-60.875,-55.125,376118658.73913324,,,
-60.875,-54.875,376118658.73912627,,,
-60.875,-54.625,376118658.73913443,,,
-60.875,-54.375,376118658.7391404,,,
-60.875,-54.125,376118658.73914385,,,
-60.875,-53.875,376118658.7391393,,,
-60.875,-53.625,376118658.7391471,,,
-60.875,-53.375,376118658.7391364,,,
-60.875,-53.125,376118658.73914856,,,
-60.875,-52.875,376118658.73912144,,,
-60.875,-52.625,376118658.73914236,,,
-60.875,-52.375,376118658.7391422,,,
-60.875,-52.125,376118658.73913395,,,
-60.875,-51.875,376118658.739139,,,
-60.875,-51.625,376118658.73913133,,,
-60.875,-51.375,376118658.739147,,,
-60.875,-51.125,376118658.73913413,,,
-60.875,-50.875,376118658.73914397,,,
-60.875,-50.625,376118658.7391301,,,
-60.875,-50.375,376118658.7391289,,,
-60.875,-50.125,376118658.73914933,,,
-61.125,-69.875,373169582.5805909,,,
-61.125,-69.625,373169582.5805976,,,
-61.125,-69.375,373169582.5805977,,,
-61.125,-69.125,373169582.58061147,,,
-61.125,-68.875,373169582.58059484,,,
-61.125,-68.625,373169582.5805938,,,
-61.125,-68.375,373169582.5805973,,,
-61.125,-68.125,373169582.58059007,,,
-61.125,-67.875,373169582.58061475,,,
-61.125,-67.625,373169582.5805961,,,
-61.125,-67.375,373169582.5805949,,,
-61.125,-67.125,373169582.5805968,,,
-61.125,-66.875,373169582.5806114,,,
-61.125,-66.625,373169582.58058953,,,
-61.125,-66.375,373169582.5805952,,,
-61.125,-66.125,373169582.58059716,,,
-61.125,-65.875,373169582.5805952,,,
-61.125,-65.625,373169582.58061266,,,
-61.125,-65.375,373169582.5805949,,,
-61.125,-65.125,373169582.58059186,,,
-61.125,-64.875,373169582.5805947,,,
-61.125,-64.625,373169582.5806098,,,
-61.125,-64.375,373169582.5805903,,,
-61.125,-64.125,373169582.5805972,,,
-61.125,-63.875,373169582.58059525,,,
-61.125,-63.625,373169582.5805934,,,
-61.125,-63.375,373169582.5806146,,,
-61.125,-63.125,373169582.5805945,,,
-61.125,-62.875,373169582.580596,,,
-61.125,-62.625,373169582.5805994,,,
-61.125,-62.375,373169582.5806159,,,
-61.125,-62.125,373169582.5805894,,,
-61.125,-61.875,373169582.5805941,,,
-61.125,-61.625,373169582.58059514,,,
-61.125,-61.375,373169582.5805959,,,
-61.125,-61.125,373169582.5806136,,,
-61.125,-60.875,373169582.5805923,,,
-61.125,-60.625,373169582.58059216,,,
-61.125,-60.375,373169582.58059543,,,
-61.125,-60.125,373169582.58061504,,,
-61.125,-59.875,373169582.58058995,,,
-61.125,-59.625,373169582.5805986,,,
-61.125,-59.375,373169582.5805861,,,
-61.125,-59.125,373169582.5805959,,,
-61.125,-58.875,373169582.5806151,,,
-61.125,-58.625,373169582.58059263,,,
-61.125,-58.375,373169582.5805937,,,
-61.125,-58.125,373169582.58058894,,,
-61.125,-57.875,373169582.5806136,,,
-61.125,-57.625,373169582.580591,,,
-61.125,-57.375,373169582.5805957,,,
-61.125,-57.125,373169582.58059525,,,
-61.125,-56.875,373169582.58060855,,,
-61.125,-56.625,373169582.58058995,,,
-61.125,-56.375,373169582.5806001,,,
-61.125,-56.125,373169582.58059,,,
-61.125,-55.875,373169582.58060366,,,
-61.125,-55.625,373169582.58059454,,,
-61.125,-54.375,373169582.5805986,,,
-61.125,-54.125,373169582.5805994,,,
-61.125,-53.875,373169582.5805971,,,
-61.125,-53.625,373169582.5806073,,,
-61.125,-53.375,373169582.5805895,,,
-61.125,-53.125,373169582.5806093,,,
-61.125,-52.875,373169582.5805916,,,
-61.125,-52.625,373169582.5805979,,,
-61.125,-52.375,373169582.58060443,,,
-61.125,-52.125,373169582.5805928,,,
-61.125,-51.875,373169582.58060205,,,
-61.125,-51.625,373169582.58059806,,,
-61.125,-51.375,373169582.58060855,,,
-61.125,-51.125,373169582.580595,,,
-61.125,-50.875,373169582.5806093,,,
-61.125,-50.625,373169582.5805867,,,
-61.125,-50.375,373169582.58059025,,,
-61.125,-50.125,373169582.5806106,,,
-61.375,-69.875,370213401.9508737,,,
-61.375,-69.625,370213401.95087165,,,
-61.375,-69.375,370213401.9508737,,,
-61.375,-69.125,370213401.9508887,,,
-61.375,-68.875,370213401.950877,,,
-61.375,-68.625,370213401.9508741,,,
-61.375,-68.375,370213401.950877,,,
-61.375,-68.125,370213401.9508704,,,
-61.375,-67.875,370213401.9508934,,,
-61.375,-67.625,370213401.9508778,,,
-61.375,-67.375,370213401.950874,,,
-61.375,-67.125,370213401.95087314,,,
-61.375,-66.875,370213401.9508905,,,
-61.375,-66.625,370213401.9508722,,,
-61.375,-66.375,370213401.9508753,,,
-61.375,-66.125,370213401.9508753,,,
-61.375,-65.875,370213401.9508722,,,
-61.375,-65.625,370213401.9508919,,,
-61.375,-65.375,370213401.9508762,,,
-61.375,-65.125,370213401.95087534,,,
-61.375,-64.875,370213401.9508785,,,
-61.375,-64.625,370213401.95088965,,,
-61.375,-64.375,370213401.9508724,,,
-61.375,-64.125,370213401.9508778,,,
-61.375,-63.875,370213401.9508715,,,
-61.375,-63.625,370213401.950872,,,
-61.375,-63.375,370213401.9508937,,,
-61.375,-63.125,370213401.9508728,,,
-61.375,-62.875,370213401.9508748,,,
-61.375,-62.625,370213401.9508705,,,
-61.375,-62.375,370213401.95089483,,,
-61.375,-62.125,370213401.9508717,,,
-61.375,-61.875,370213401.9508736,,,
-61.375,-61.625,370213401.9508776,,,
-61.375,-61.375,370213401.950872,,,
-61.375,-61.125,370213401.9508909,,,
-61.375,-60.875,370213401.9508743,,,
-61.375,-60.625,370213401.9508715,,,
-61.375,-60.375,370213401.950877,,,
-61.375,-60.125,370213401.9508903,,,
-61.375,-59.875,370213401.95086914,,,
-61.375,-59.625,370213401.9508843,,,
-61.375,-59.375,370213401.95087045,,,
-61.375,-59.125,370213401.9508752,,,
-61.375,-58.875,370213401.950892,,,
-61.375,-58.625,370213401.9508738,,,
-61.375,-58.375,370213401.9508771,,,
-61.375,-58.125,370213401.95087135,,,
-61.375,-57.875,370213401.95089006,,,
-61.375,-57.625,370213401.95086753,,,
-61.375,-57.375,370213401.9508719,,,
-61.375,-57.125,370213401.9508746,,,
-61.375,-56.875,370213401.9508899,,,
-61.375,-56.625,370213401.9508712,,,
-61.375,-56.375,370213401.9508928,,,
-61.375,-56.125,370213401.9508723,,,
-61.375,-55.875,370213401.9508839,,,
-61.375,-55.625,370213401.95087713,,,
-61.375,-55.375,370213401.95088935,,,
-61.375,-55.125,370213401.950873,,,
-61.375,-54.875,370213401.9508683,,,
-61.375,-54.625,370213401.9508789,,,
-61.375,-54.375,370213401.9508764,,,
-61.375,-54.125,370213401.9508803,,,
-61.375,-53.875,370213401.95088,,,
-61.375,-53.625,370213401.9508941,,,
-61.375,-53.375,370213401.9508686,,,
-61.375,-53.125,370213401.95088655,,,
-61.375,-52.875,370213401.9508751,,,
-61.375,-52.625,370213401.95087683,,,
-61.375,-52.375,370213401.95088154,,,
-61.375,-52.125,370213401.950872,,,
-61.375,-51.875,370213401.95086986,,,
-61.375,-51.625,370213401.95088273,,,
-61.375,-51.375,370213401.9508808,,,
-61.375,-51.125,370213401.95087343,,,
-61.375,-50.875,370213401.95088416,,,
-61.375,-50.625,370213401.9508674,,,
-61.375,-50.375,370213401.95087147,,,
-61.375,-50.125,370213401.9508869,,,
-61.625,-69.875,367250173.1313466,,,
-61.625,-69.625,367250173.13133794,,,
-61.625,-69.375,367250173.13134515,,,
-61.625,-69.125,367250173.13136226,,,
-61.625,-68.875,367250173.13135165,,,
-61.625,-68.625,367250173.1313478,,,
-61.625,-68.375,367250173.13134986,,,
-61.625,-68.125,367250173.13134176,,,
-61.625,-67.875,367250173.1313602,,,
-61.625,-67.625,367250173.13135576,,,
-61.625,-67.375,367250173.13134545,,,
-61.625,-67.125,367250173.13135225,,,
-61.625,-66.875,367250173.1313625,,,
-61.625,-66.625,367250173.1313409,,,
-61.625,-66.375,367250173.1313505,,,
-61.625,-66.125,367250173.1313468,,,
-61.625,-65.875,367250173.1313425,,,
-61.625,-65.625,367250173.1313647,,,
-61.625,-65.375,367250173.1313481,,,
-61.625,-65.125,367250173.13134617,,,
-61.625,-64.875,367250173.13134766,,,
-61.625,-64.625,367250173.13135797,,,
-61.625,-64.375,367250173.131346,,,
-61.625,-64.125,367250173.1313433,,,
-61.625,-63.875,367250173.13134515,,,
-61.625,-63.625,367250173.1313478,,,
-61.625,-63.375,367250173.13137335,,,
-61.625,-63.125,367250173.1313467,,,
-61.625,-62.875,367250173.13134575,,,
-61.625,-62.625,367250173.1313405,,,
-61.625,-62.375,367250173.1313712,,,
-61.625,-62.125,367250173.13134664,,,
-61.625,-61.875,367250173.13134617,,,
-61.625,-61.625,367250173.13134956,,,
-61.625,-61.375,367250173.13134575,,,
-61.625,-61.125,367250173.1313664,,,
-61.625,-60.875,367250173.13134617,,,
-61.625,-60.625,367250173.13134515,,,
-61.625,-60.375,367250173.13134795,,,
-61.625,-60.125,367250173.13136405,,,
-61.625,-59.875,367250173.13134444,,,
-61.625,-59.625,367250173.13135195,,,
-61.625,-59.375,367250173.1313438,,,
-61.625,-59.125,367250173.13134646,,,
-61.625,-58.875,367250173.1313713,,,
-61.625,-58.625,367250173.13134325,,,
-61.625,-58.375,367250173.1313433,,,
-61.625,-58.125,367250173.13134336,,,
-61.625,-57.875,367250173.1313609,,,
-61.625,-57.625,367250173.1313437,,,
-61.625,-57.375,367250173.13135195,,,
-61.625,-57.125,367250173.1313455,,,
-61.625,-56.875,367250173.1313581,,,
-61.625,-56.625,367250173.13134396,,,
-61.625,-56.375,367250173.1313566,,,
-61.625,-56.125,367250173.13134104,,,
-61.625,-55.875,367250173.1313563,,,
-61.625,-55.625,367250173.13134617,,,
-61.625,-55.375,367250173.1313606,,,
-61.625,-55.125,367250173.13134736,,,
-61.625,-54.875,367250173.13134223,,,
-61.625,-54.625,367250173.13135165,,,
-61.625,-54.375,367250173.13134724,,,
-61.625,-54.125,367250173.1313544,,,
-61.625,-53.875,367250173.13135386,,,
-61.625,-53.625,367250173.1313598,,,
-61.625,-53.375,367250173.13134044,,,
-61.625,-53.125,367250173.1313575,,,
-61.625,-52.875,367250173.13133883,,,
-61.625,-52.625,367250173.1313489,,,
-61.625,-52.375,367250173.1313581,,,
-61.625,-52.125,367250173.1313422,,,
-61.625,-51.875,367250173.13134754,,,
-61.625,-51.625,367250173.131357,,,
-61.625,-51.375,367250173.1313573,,,
-61.625,-51.125,367250173.1313458,,,
-61.625,-50.875,367250173.1313581,,,
-61.625,-50.625,367250173.1313416,,,
-61.625,-50.375,367250173.1313442,,,
-61.625,-50.125,367250173.1313661,,,
-61.875,-69.875,364279952.5374375,,,
-61.875,-69.625,364279952.5374356,,,
-61.875,-69.375,364279952.53743464,,,
-61.875,-69.125,364279952.5374518,,,
